model,config,size_mb,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,fps,peak_memory_mb,quantization,graph_opt,threads
yolov8n,FP32 Baseline,12.26,464.85,462.92,494.25,516.10,2.2,20.50,,ORT_DISABLE_ALL,1
yolov8n,FP32 Optimized,12.26,739.06,729.28,865.18,924.21,1.4,10.50,,ORT_ENABLE_ALL,4
yolov8n,INT8 Dynamic,3.34,1163.64,1168.42,1320.68,1384.39,0.9,8.00,dynamic,ORT_ENABLE_ALL,4
yolov8n,INT8 Max Tuned,3.34,1185.67,1186.60,1341.61,1426.39,0.8,7.00,dynamic,ORT_ENABLE_ALL,4
yolov8n,INT8 Static (BROKEN),3.36,308.40,302.77,392.15,401.72,3.2,4.50,static,ORT_ENABLE_ALL,4
yolov8n,INT8 Static 1T (BROKEN),3.36,158.97,157.98,171.72,175.98,6.3,7.50,static,ORT_ENABLE_ALL,1
yolov8s,FP32 Baseline,42.79,1261.24,1249.53,1323.37,1333.67,0.8,11.00,,ORT_DISABLE_ALL,1
yolov8s,FP32 Optimized,42.79,1519.11,1526.01,1669.78,1742.70,0.7,16.50,,ORT_ENABLE_ALL,4
yolov8s,INT8 Dynamic,10.99,2300.87,2417.75,2603.35,2671.06,0.4,12.50,dynamic,ORT_ENABLE_ALL,4
yolov8s,INT8 Max Tuned,10.99,1453.58,1381.51,1753.39,1841.63,0.7,14.00,dynamic,ORT_ENABLE_ALL,4
yolov8s,INT8 Static (BROKEN),11.01,236.30,230.25,287.84,313.10,4.2,12.50,static,ORT_ENABLE_ALL,4
yolov8s,INT8 Static 1T (BROKEN),11.01,331.85,331.56,333.80,334.12,3.0,0.00,static,ORT_ENABLE_ALL,1
yolov8m,FP32 Baseline,99.00,2828.63,2828.46,2831.37,2832.44,0.4,20.00,,ORT_DISABLE_ALL,1
yolov8m,FP32 Optimized,99.00,1754.24,1753.54,1807.01,1821.74,0.6,12.00,,ORT_ENABLE_ALL,4
yolov8m,INT8 Dynamic,25.10,3240.16,3237.09,3318.16,3333.28,0.3,6.00,dynamic,ORT_ENABLE_ALL,4
yolov8m,INT8 Max Tuned,25.10,3240.49,3243.82,3301.88,3321.55,0.3,2.50,dynamic,ORT_ENABLE_ALL,4
yolov8m,INT8 Static (BROKEN),25.14,455.57,449.83,514.72,553.29,2.2,15.00,static,ORT_ENABLE_ALL,4
yolov8m,INT8 Static 1T (BROKEN),25.14,794.83,794.14,796.87,797.79,1.3,6.00,static,ORT_ENABLE_ALL,1
